"","Unique_ID","Date","Time_Start","Latitude","Longitude","Type_of_observation","Common_name","Scientific_name","Family","Genus","Species"
"2011",11773,"2003/06/02 00:00:00+00","1899/12/30 08:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2018",11780,"2003/07/07 00:00:00+00","1899/12/30 08:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2026",11788,"2003/08/04 00:00:00+00","1899/12/30 08:10:00+00",-37.6802,144.839,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2398",12160,"2003/10/06 00:00:00+00","1899/12/30 08:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2849",12612,"2004/04/05 00:00:00+00","1899/12/30 08:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2885",12650,"2004/05/03 00:00:00+00","1899/12/30 08:15:00+00",-37.6823,144.837,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2886",12649,"2004/05/03 00:00:00+00","1899/12/30 08:15:00+00",-37.6575,144.846,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2887",12648,"2004/05/03 00:00:00+00","1899/12/30 08:15:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2929",12692,"2004/06/07 00:00:00+00","1899/12/30 08:50:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2933",12696,"2004/07/05 00:00:00+00","1899/12/30 08:20:00+00",-37.6545,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2936",12703,"2004/09/06 00:00:00+00","1899/12/30 10:30:00+00",-37.682,144.84,"Frog census (AVW code)","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"2937",12701,"2004/09/06 00:00:00+00","1899/12/30 10:30:00+00",-37.6575,144.846,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2938",12702,"2004/09/06 00:00:00+00","1899/12/30 10:30:00+00",-37.6575,144.846,"Frog census (AVW code)","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"2939",12699,"2004/09/06 00:00:00+00","1899/12/30 10:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"2940",12700,"2004/09/06 00:00:00+00","1899/12/30 10:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"3433",13198,"2004/10/04 00:00:00+00","1899/12/30 08:15:00+00",-37.6575,144.846,"Frog census (AVW code)","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"3434",13197,"2004/10/04 00:00:00+00","1899/12/30 08:15:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"3435",13196,"2004/10/04 00:00:00+00","1899/12/30 08:15:00+00",-37.653,144.839,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"3855",13618,"2004/12/06 00:00:00+00","1899/12/30 08:15:00+00",-37.6575,144.846,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"3981",13750,"2005/01/10 00:00:00+00","1899/12/30 08:00:00+00",-37.6787,144.837,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"4231",13997,"2005/03/25 00:00:00+00","1899/12/30 10:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"4524",14290,"2005/07/11 00:00:00+00","1899/12/30 08:20:00+00",-37.6647,144.832,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"4525",14289,"2005/07/11 00:00:00+00","1899/12/30 08:20:00+00",-37.6635,144.827,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"4526",14291,"2005/07/11 00:00:00+00","1899/12/30 08:20:00+00",-37.6509,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"4541",14306,"2005/09/12 00:00:00+00","1899/12/30 08:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"5955",15720,"2006/03/06 00:00:00+00","1899/12/30 08:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"6158",15923,"2006/04/10 00:00:00+00","1899/12/30 08:45:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"6168",15933,"2006/05/01 00:00:00+00","1899/12/30 14:00:00+00",-37.6647,144.832,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"6169",15934,"2006/05/01 00:00:00+00","1899/12/30 14:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"6196",15961,"2006/06/12 00:00:00+00","1899/12/30 08:10:00+00",-37.6525,144.843,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"6203",15968,"2006/07/03 00:00:00+00","1899/12/30 08:45:00+00",-37.6525,144.843,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"6573",16338,"2006/11/08 00:00:00+00","1899/12/30 08:20:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7574",17362,"2007/04/02 00:00:00+00","1899/12/30 09:00:00+00",-37.6835,144.858,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7575",17363,"2007/04/02 00:00:00+00","1899/12/30 09:00:00+00",-37.6835,144.858,"Frog census (AVW code)","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"7576",17364,"2007/04/02 00:00:00+00","1899/12/30 09:00:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7594",17382,"2007/05/07 00:00:00+00","1899/12/30 07:50:00+00",-37.6835,144.858,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7789",17578,"2007/06/04 00:00:00+00","1899/12/30 07:40:00+00",-37.6852,144.859,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7790",17579,"2007/06/04 00:00:00+00","1899/12/30 07:40:00+00",-37.6525,144.843,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7821",17609,"2007/06/18 00:00:00+00","1899/12/30 08:55:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7844",17633,"2007/07/03 00:00:00+00","1899/12/30 08:10:00+00",-37.6835,144.858,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7845",17634,"2007/07/03 00:00:00+00","1899/12/30 08:10:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7846",17632,"2007/07/03 00:00:00+00","1899/12/30 08:00:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7853",17641,"2007/07/14 00:00:00+00","1899/12/30 09:00:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7854",17642,"2007/07/14 00:00:00+00","1899/12/30 07:49:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7855",17643,"2007/07/16 00:00:00+00","1899/12/30 08:55:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7863",17651,"2007/07/27 00:00:00+00","1899/12/30 08:50:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7864",17652,"2007/07/27 00:00:00+00","1899/12/30 08:10:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7866",17654,"2007/08/02 00:00:00+00","1899/12/30 08:15:00+00",-38.01805,145.13,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"7874",17662,"2007/08/18 00:00:00+00","1899/12/30 08:40:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7875",17663,"2007/08/19 00:00:00+00","1899/12/30 08:20:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7878",17666,"2007/08/24 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"7881",17669,"2007/08/31 00:00:00+00","1899/12/30 08:10:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8099",17887,"2007/09/05 00:00:00+00","1899/12/30 08:37:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8100",17888,"2007/09/06 00:00:00+00","1899/12/30 08:05:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8101",17889,"2007/09/07 00:00:00+00","1899/12/30 08:10:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8102",17890,"2007/09/07 00:00:00+00","1899/12/30 08:10:00+00",-38.02444,145.2789,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"8109",17897,"2007/09/21 00:00:00+00","1899/12/30 07:25:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8110",17898,"2007/09/21 00:00:00+00","1899/12/30 08:30:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8111",17899,"2007/09/22 00:00:00+00","1899/12/30 08:40:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8120",17908,"2007/09/27 00:00:00+00","1899/12/30 08:10:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8124",17912,"2007/09/30 00:00:00+00","1899/12/30 08:10:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8549",18337,"2007/10/04 00:00:00+00","1899/12/30 07:55:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8550",18338,"2007/10/06 00:00:00+00","1899/12/30 08:04:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8554",18342,"2007/10/14 00:00:00+00","1899/12/30 08:15:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8555",18343,"2007/10/14 00:00:00+00","1899/12/30 08:15:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"8568",18356,"2007/10/20 00:00:00+00","1899/12/30 08:30:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8580",18368,"2007/10/24 00:00:00+00","1899/12/30 07:10:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8603",18391,"2007/10/25 00:00:00+00","1899/12/30 08:20:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8666",18456,"2007/11/05 00:00:00+00","1899/12/30 08:10:00+00",-37.6575,144.846,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8667",18455,"2007/11/05 00:00:00+00","1899/12/30 08:10:00+00",-37.6509,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8672",18460,"2007/11/07 00:00:00+00","1899/12/30 08:05:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8673",18461,"2007/11/07 00:00:00+00","1899/12/30 08:05:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"8674",18462,"2007/11/07 00:00:00+00","1899/12/30 08:30:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8675",18463,"2007/11/08 00:00:00+00","1899/12/30 08:15:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8676",18464,"2007/11/08 00:00:00+00","1899/12/30 08:15:00+00",-38.01805,145.13,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"8683",18471,"2007/11/12 00:00:00+00","1899/12/30 08:10:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8771",18559,"2007/11/26 00:00:00+00","1899/12/30 07:30:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8772",18560,"2007/11/26 00:00:00+00","1899/12/30 08:35:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"8773",18561,"2007/11/26 00:00:00+00","1899/12/30 08:35:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8785",18573,"2007/11/30 00:00:00+00","1899/12/30 08:00:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8786",18574,"2007/11/30 00:00:00+00","1899/12/30 08:00:00+00",-38.02444,145.2789,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"8787",18575,"2007/11/30 00:00:00+00","1899/12/30 08:00:00+00",-38.02444,145.2789,"Heard during bird survey","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"8913",18701,"2007/12/16 00:00:00+00","1899/12/30 07:30:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8914",18702,"2007/12/16 00:00:00+00","1899/12/30 07:30:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"8915",18703,"2007/12/18 00:00:00+00","1899/12/30 07:30:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8916",18704,"2007/12/18 00:00:00+00","1899/12/30 08:35:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8917",18705,"2007/12/18 00:00:00+00","1899/12/30 08:35:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"8922",18710,"2007/12/21 00:00:00+00","1899/12/30 07:15:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8923",18711,"2007/12/21 00:00:00+00","1899/12/30 07:15:00+00",-38.01805,145.13,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"8924",18712,"2007/12/27 00:00:00+00","1899/12/30 08:00:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"8925",18713,"2007/12/27 00:00:00+00","1899/12/30 08:00:00+00",-38.02444,145.2789,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"8926",18714,"2007/12/28 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9136",18927,"2008/01/03 00:00:00+00","1899/12/30 07:00:00+00",-38.01805,145.13,"Heard during bird survey","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"9137",18926,"2008/01/03 00:00:00+00","1899/12/30 07:00:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9141",18931,"2008/01/09 00:00:00+00","1899/12/30 07:20:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"9156",18946,"2008/02/03 00:00:00+00","1899/12/30 07:50:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9157",18947,"2008/02/03 00:00:00+00","1899/12/30 07:50:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"9231",19025,"2008/02/07 00:00:00+00","1899/12/30 07:10:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9294",19088,"2008/02/18 00:00:00+00","1899/12/30 07:30:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9295",19089,"2008/02/18 00:00:00+00","1899/12/30 08:40:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9296",19090,"2008/02/18 00:00:00+00","1899/12/30 08:40:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"9439",19233,"2008/03/16 00:00:00+00","1899/12/30 08:00:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"9607",19403,"2008/04/12 00:00:00+00","1899/12/30 08:50:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9608",19404,"2008/04/13 00:00:00+00","1899/12/30 08:00:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"9613",19409,"2008/04/16 00:00:00+00","1899/12/30 09:05:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9620",19417,"2008/04/25 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9639",19436,"2008/04/29 00:00:00+00","1899/12/30 08:15:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9644",19441,"2008/05/01 00:00:00+00","1899/12/30 07:35:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9651",19449,"2008/05/09 00:00:00+00","1899/12/30 07:42:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9654",19455,"2008/05/12 00:00:00+00","1899/12/30 08:30:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9656",19457,"2008/05/14 00:00:00+00","1899/12/30 08:20:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9684",19491,"2008/05/24 00:00:00+00","1899/12/30 08:15:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9691",19503,"2008/05/29 00:00:00+00","1899/12/30 08:15:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9695",19508,"2008/06/05 00:00:00+00","1899/12/30 08:15:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9697",19510,"2008/06/08 00:00:00+00","1899/12/30 08:15:00+00",-37.6855,144.856,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9716",19532,"2008/06/19 00:00:00+00","1899/12/30 08:15:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9717",19533,"2008/06/19 00:00:00+00","1899/12/30 09:15:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9728",19544,"2008/06/24 00:00:00+00","1899/12/30 07:55:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9730",19546,"2008/06/26 00:00:00+00","1899/12/30 08:10:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9743",19562,"2008/06/27 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9744",19563,"2008/06/28 00:00:00+00","1899/12/30 08:30:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9778",19597,"2008/07/16 00:00:00+00","1899/12/30 08:00:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9779",19598,"2008/07/16 00:00:00+00","1899/12/30 09:00:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9782",19601,"2008/07/17 00:00:00+00","1899/12/30 07:30:00+00",-38.02444,145.2789,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9785",19606,"2008/07/22 00:00:00+00","1899/12/30 09:30:00+00",-37.6852,144.859,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9793",19612,"2008/07/24 00:00:00+00","1899/12/30 08:00:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9794",19613,"2008/07/25 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9795",19614,"2008/07/25 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"9842",19678,"2008/08/07 00:00:00+00","1899/12/30 08:10:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"9843",19685,"2008/08/07 00:00:00+00","1899/12/30 11:30:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
